Z,Element,Ka1,Ka2,Kb1,La1,La2,Lb1,Lb2,Lg1,Ma1,K,L1,L2,L3,M1,M2,M3,M4,M5,N1,N23,N4,N5,N6,N7,O1,O23,O45
78.00,Pt,66832.00,65112.00,75748.00,9442.30,9361.80,11070.70,11250.50,12942.00,2050.50,NaN,NaN,NaN,NaN,NaN,3026.00,2645.00,2202.00,2122.00,722.00,519.00,313.00,313.00,71.00,71.00,102.00,52.00,NaN
79.00,Au,68803.70,66989.50,77984.00,9713.30,9628.00,11442.30,11584.70,13381.70,2122.90,NaN,NaN,NaN,NaN,NaN,3148.00,2743.00,2291.00,2206.00,759.00,545.00,334.00,334.00,83.00,83.00,108.00,54.00,NaN
80.00,Hg,70819.00,68895.00,80253.00,9988.80,9897.60,11822.60,11924.10,13830.10,2195.30,NaN,NaN,NaN,NaN,NaN,3278.00,2847.00,2385.00,2295.00,800.00,571.00,360.00,360.00,98.00,98.00,120.00,58.00,NaN
81.00,Ti,72871.50,70831.90,82576.00,10268.50,10172.80,12213.30,12271.50,14291.50,2270.60,NaN,NaN,NaN,NaN,NaN,3416.00,2957.00,2485.00,2389.00,845.00,609.00,386.00,386.00,118.00,118.00,136.00,75.00,NaN
82.00,Pb,74969.40,72804.20,84936.00,10551.50,10449.50,12613.70,12622.60,14764.40,2345.50,NaN,NaN,NaN,NaN,NaN,3554.00,3066.00,2586.00,2484.00,894.00,644.00,413.00,413.00,138.00,138.00,147.00,86.00,19.00
83.00,Bi,77107.90,74814.80,87343.00,10838.80,10730.91,13023.50,12979.90,15247.70,2422.60,NaN,NaN,NaN,NaN,NaN,3696.00,3177.00,2688.00,2580.00,938.00,679.00,440.00,440.00,157.00,157.00,159.00,93.00,24.00
84.00,Po,79290.00,76862.00,89800.00,11130.80,11015.80,13447.00,13340.40,15744.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4046.00,3491.00,3332.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85.00,At,81520.00,78950.00,92300.00,11426.80,11304.80,13876.00,NaN,16251.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
86.00,Rn,83780.00,81070.00,94870.00,11727.00,11597.90,14316.00,NaN,16770.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
87.00,Fr,86100.00,83230.00,97470.00,12031.30,11895.00,14770.00,14450.00,17303.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
88.00,Ra,88470.00,85430.00,100130.00,12339.70,12196.20,15235.80,14841.40,17849.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89.00,Ac,90884.00,87670.00,102850.00,12652.00,12500.80,15713.00,NaN,18408.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90.00,Th,93350.00,89953.00,105609.00,12968.70,12809.60,16202.20,15623.70,18982.50,2996.10,NaN,NaN,NaN,NaN,NaN,NaN,4046.00,3491.00,3332.00,1329.00,967.00,714.00,676.00,344.00,335.00,290.00,182.00,88.00
91.00,Pa,95868.00,92287.00,108427.00,13290.70,13122.20,16702.00,16024.00,19568.00,3082.30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
92.00,U,98439.00,94665.00,111300.00,13614.70,13438.80,17220.00,16428.30,20167.10,3170.80,NaN,NaN,NaN,NaN,NaN,NaN,4303.00,3728.00,3552.00,1441.00,1045.00,780.00,738.00,391.00,381.00,324.00,195.00,96.00
93.00,Np ,NaN ,NaN ,NaN ,13944.10,13759.70,17750.20,16840.00,20784.80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94.00,Pu ,NaN ,NaN ,NaN ,14278.60,14084.20,18293.70,17255.30,21417.30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95.00,Am ,NaN ,NaN ,NaN ,14617.20,14411.90,18852.00,17676.50,22065.20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
